jornada,region,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
23,Banca Oficial II,201808,1,0,0,1,0,0,612,0,0
23,Bogota Norte,201808,13,0,0,1,0,0,8305,0,0
23,Bogota Sur,201808,9,0,0,1,0,0,6812,0,0
23,Central,201808,10,0,0,1,0,0,4080,0,0
23,Costa,201808,4,2,0,0.666666666666667,0.333333333333333,0,2392,1842,0
23,Occidente,201808,3,0,0,1,0,0,1784,0,0
23,Oriente,201808,17,0,0,1,0,0,9317,0,0
21,Antioquia,201809,90,23,5,0.76271186440678,0.194915254237288,0.0423728813559322,556732,146431,50411
21,Banca Oficial II,201809,1,0,0,1,0,0,10276,0,0
21,Bogota Norte,201809,44,38,5,0.505747126436782,0.436781609195402,0.0574712643678161,243330,319119,50484
21,Bogota Sur,201809,48,42,6,0.5,0.4375,0.0625,272692,357113,65754
21,Central,201809,65,28,10,0.631067961165049,0.271844660194175,0.0970873786407767,266959,162194,78119
21,Costa,201809,73,20,4,0.752577319587629,0.206185567010309,0.0412371134020619,379190,142262,23679
21,Direccion Banca Premium,201809,15,0,0,1,0,0,12056,0,0
21,Occidente,201809,47,48,10,0.447619047619048,0.457142857142857,0.0952380952380952,236837,396898,63685
21,Oriente,201809,46,25,11,0.560975609756098,0.304878048780488,0.134146341463415,260697,160614,76142
22,Antioquia,201809,5,0,0,1,0,0,11143,0,0
22,Banca Oficial II,201809,1,0,0,1,0,0,1739,0,0
22,Bogota Norte,201809,2,4,0,0.333333333333333,0.666666666666667,0,6622,16321,0
22,Bogota Sur,201809,7,5,3,0.466666666666667,0.333333333333333,0.2,9409,20851,11710
22,Central,201809,11,2,0,0.846153846153846,0.153846153846154,0,14114,3327,0
22,Costa,201809,5,1,2,0.625,0.125,0.25,7448,3187,6733
22,Occidente,201809,4,0,0,1,0,0,10900,0,0
22,Oriente,201809,18,2,0,0.9,0.1,0,36378,4890,0
23,Antioquia,201809,2,0,0,1,0,0,825,0,0
23,Banca Oficial II,201809,1,0,0,1,0,0,550,0,0
23,Bogota Norte,201809,14,0,0,1,0,0,9788,0,0
23,Bogota Sur,201809,9,0,0,1,0,0,6527,0,0
23,Central,201809,11,0,0,1,0,0,4291,0,0
23,Costa,201809,6,1,0,0.857142857142857,0.142857142857143,0,4006,1224,0
23,Occidente,201809,2,0,0,1,0,0,709,0,0
23,Oriente,201809,16,0,0,1,0,0,9145,0,0
21,Antioquia,201810,93,22,3,0.788135593220339,0.186440677966102,0.0254237288135593,614259,156254,43032
21,Banca Oficial II,201810,1,0,0,1,0,0,11418,0,0
21,Bogota Norte,201810,56,28,3,0.64367816091954,0.32183908045977,0.0344827586206897,361814,264822,36280
21,Bogota Sur,201810,51,41,4,0.53125,0.427083333333333,0.0416666666666667,321553,389957,50533
21,Central,201810,60,31,12,0.58252427184466,0.300970873786408,0.116504854368932,271165,200934,106670
21,Costa,201810,74,19,4,0.762886597938144,0.195876288659794,0.0412371134020619,407704,142356,27296
21,Direccion Banca Premium,201810,15,0,0,1,0,0,12623,0,0
21,Occidente,201810,45,50,10,0.428571428571429,0.476190476190476,0.0952380952380952,258159,465776,75730
21,Oriente,201810,43,27,12,0.524390243902439,0.329268292682927,0.146341463414634,272816,199411,88765
22,Antioquia,201810,5,0,0,1,0,0,11505,0,0
22,Banca Oficial II,201810,1,0,0,1,0,0,2030,0,0
22,Bogota Norte,201810,5,4,0,0.555555555555556,0.444444444444444,0,8115,17360,0
22,Bogota Sur,201810,7,7,1,0.466666666666667,0.466666666666667,0.0666666666666667,10447,28728,5951
22,Central,201810,10,2,1,0.769230769230769,0.153846153846154,0.0769230769230769,13512,5630,1526
22,Costa,201810,6,0,2,0.75,0,0.25,11116,0,7154
22,Occidente,201810,4,0,0,1,0,0,11542,0,0
22,Oriente,201810,20,0,0,1,0,0,45717,0,0
23,Antioquia,201810,2,0,0,1,0,0,653,0,0
