llave,oficina_segun_terminal,numero_caja,mes,jornada,region,zona,nombre,tx,tasa_servicio,t_ocup
2204592,459,3,201903,22,Occidente,Cali Sur,0459 - Pasoancho,426,30.0472488038278,0.363530018817744
2204622,462,1,201903,22,Oriente,Norte de Santander y Arauca,0462 - Pamplona,15,30.7786960514233,0.0116035733465174
2204622,462,3,201903,22,Oriente,Norte de Santander y Arauca,0462 - Pamplona,1058,30.7786960514233,0.674008346700456
2204622,462,4,201903,22,Oriente,Norte de Santander y Arauca,0462 - Pamplona,16,30.7786960514233,0.173280028641327
2204692,469,2,201903,22,Oriente,Casanare y Bucaramanga,0469 - Piedecuesta,962,30.5533081933493,0.524765869275766
2204692,469,3,201903,22,Oriente,Casanare y Bucaramanga,0469 - Piedecuesta,46,30.5533081933493,0.501855093278279
2204692,469,4,201903,22,Oriente,Casanare y Bucaramanga,0469 - Piedecuesta,1008,30.5533081933493,0.54985862393968
2204692,469,5,201903,22,Oriente,Casanare y Bucaramanga,0469 - Piedecuesta,901,30.5533081933493,0.491490694612749
2204862,486,1,201903,22,Occidente,Cali Sur,0486 - Unicentro,599,30.3679883945841,0.438327061317141
2204862,486,2,201903,22,Occidente,Cali Sur,0486 - Unicentro,713,30.3679883945841,0.521748238262307
2204862,486,3,201903,22,Occidente,Cali Sur,0486 - Unicentro,189,30.3679883945841,0.518638238244614
2204862,486,4,201903,22,Occidente,Cali Sur,0486 - Unicentro,567,30.3679883945841,0.414910590595691
2205422,542,1,201903,22,Bogota Sur,Zona Industrial,0542 - Centro Comercial Centro Mayor,3,30.0725220349467,0.0166264738095116
2205422,542,2,201903,22,Bogota Sur,Zona Industrial,0542 - Centro Comercial Centro Mayor,1348,30.0725220349467,0.74708288984072
2205422,542,3,201903,22,Bogota Sur,Zona Industrial,0542 - Centro Comercial Centro Mayor,1725,30.0725220349467,0.956022244046915
2205422,542,4,201903,22,Bogota Sur,Zona Industrial,0542 - Centro Comercial Centro Mayor,1842,30.0725220349467,1.02086549190401
2205422,542,5,201903,22,Bogota Sur,Zona Industrial,0542 - Centro Comercial Centro Mayor,1549,30.0725220349467,0.858480264364447
2205512,551,2,201903,22,Central,Girardot,0551 - Centro Comercial Unicentro Girardot,684,30.4631288766368,0.575727516680415
2205512,551,3,201903,22,Central,Girardot,0551 - Centro Comercial Unicentro Girardot,767,30.4631288766368,0.524541216083737
2205824,582,1,201903,22,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,52,30.037100949094,0.0824377319364824
2205824,582,2,201903,22,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,973,30.037100949094,0.674859846417526
2205824,582,3,201903,22,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,399,30.037100949094,0.442785740958837
2205824,582,4,201903,22,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,791,30.037100949094,0.548627069389787
2205824,582,5,201903,22,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,103,30.037100949094,0.285757715029826
2205832,583,1,201903,22,Central,No hay informacion,0583 - Tolemaida,12,30.1012658227848,0.132884777123633
2205832,583,2,201903,22,Central,No hay informacion,0583 - Tolemaida,304,30.1012658227848,0.224427623586581
2205962,596,1,201903,22,Oriente,Boyaca,0596 - Sogamoso,738,30.0315917375456,0.546091600582619
2205962,596,2,201903,22,Oriente,Boyaca,0596 - Sogamoso,677,30.0315917375456,0.500953947959936
2205962,596,3,201903,22,Oriente,Boyaca,0596 - Sogamoso,123,30.0315917375456,0.455076333818849
2205962,596,4,201903,22,Oriente,Boyaca,0596 - Sogamoso,108,30.0315917375456,0.599368829907752
2206002,600,2,201903,22,Oriente,Bucaramanga,0600 - Centro Comercial Cabecera,1074,30.4589448631495,0.73459537421699
2206002,600,3,201903,22,Oriente,Bucaramanga,0600 - Centro Comercial Cabecera,44,30.4589448631495,0.481522479933669
2206002,600,4,201903,22,Oriente,Bucaramanga,0600 - Centro Comercial Cabecera,618,30.4589448631495,0.450880140301527
2206002,600,5,201903,22,Oriente,Bucaramanga,0600 - Centro Comercial Cabecera,785,30.4589448631495,0.536924924357856
2206012,601,1,201903,22,Oriente,Norte de Santander y Arauca,0601 - Centro Comercial Ventura Plaza,1000,30.4079764628964,0.685127251356368
2206012,601,2,201903,22,Oriente,Norte de Santander y Arauca,0601 - Centro Comercial Ventura Plaza,929,30.4079764628964,0.636483216510066
2206012,601,3,201903,22,Oriente,Norte de Santander y Arauca,0601 - Centro Comercial Ventura Plaza,1035,30.4079764628964,0.709106705153841
2206012,601,4,201903,22,Oriente,Norte de Santander y Arauca,0601 - Centro Comercial Ventura Plaza,95,30.4079764628964,0.13017417775771
2206062,606,1,201903,22,Bogota Sur,Occidente,0606 - Tintal Plaza,1365,30.6536122597908,0.927704694604696
2206062,606,2,201903,22,Bogota Sur,Occidente,0606 - Tintal Plaza,1503,30.6536122597908,1.02149461977352
2206062,606,3,201903,22,Bogota Sur,Occidente,0606 - Tintal Plaza,1243,30.6536122597908,0.844788963658342
2206142,614,1,201903,22,Oriente,Norte de Santander y Arauca,0614 - Centro Comercial Unicentro Cucuta,1,30.0610946117947,0.0110885294643445
2206142,614,2,201903,22,Oriente,Norte de Santander y Arauca,0614 - Centro Comercial Unicentro Cucuta,729,30.0610946117947,0.505221123719197
2206142,614,3,201903,22,Oriente,Norte de Santander y Arauca,0614 - Centro Comercial Unicentro Cucuta,858,30.0610946117947,0.594622392525475
2206142,614,4,201903,22,Oriente,Norte de Santander y Arauca,0614 - Centro Comercial Unicentro Cucuta,769,30.0610946117947,0.532942447380059
2206162,616,2,201903,22,Oriente,Boyaca,0616 - Tunja,1291,30.383152173913,0.885221953909907
2206162,616,6,201903,22,Oriente,Boyaca,0616 - Tunja,814,30.383152173913,0.595359190690556
2206162,616,7,201903,22,Oriente,Boyaca,0616 - Tunja,839,30.383152173913,0.575291416987151
2206382,638,1,201903,22,Central,Neiva - Tolima,0638 - Centro Comercial Santa Lucia Plaza,433,30.6575654152446,0.276936409119088
2206382,638,2,201903,22,Central,Neiva - Tolima,0638 - Centro Comercial Santa Lucia Plaza,446,30.6575654152446,0.303079078224729
2206422,642,1,201903,22,Central,Neiva - Tolima,0642 - San Juan Plaza Neiva,326,30.5854189336235,0.177644561453441
2206422,642,2,201903,22,Central,Neiva - Tolima,0642 - San Juan Plaza Neiva,593,30.5854189336235,0.323138726815616
2206462,646,1,201903,22,Oriente,Casanare y Bucaramanga,0646 - Yopal,1183,30.2630098452883,0.651510433610634
2206462,646,2,201903,22,Oriente,Casanare y Bucaramanga,0646 - Yopal,822,30.2630098452883,0.452697866802993
2206462,646,3,201903,22,Oriente,Casanare y Bucaramanga,0646 - Yopal,812,30.2630098452883,0.447190593484222
2206462,646,7,201903,22,Oriente,Casanare y Bucaramanga,0646 - Yopal,27,30.2630098452883,0.0148696379606823
2206634,663,2,201903,22,Bogota Norte,No hay informacion,0663 - Oficina de Recaudos y Pagos Calle 128,1430,30.1816318163182,0.987079388151549
2206634,663,3,201903,22,Bogota Norte,No hay informacion,0663 - Oficina de Recaudos y Pagos Calle 128,1007,30.1816318163182,0.695097163544483
2206634,663,5,201903,22,Bogota Norte,No hay informacion,0663 - Oficina de Recaudos y Pagos Calle 128,2,30.1816318163182,0.0220884898047899
2206762,676,2,201903,22,Oriente,Boyaca,0676 - Paipa,796,30.3542713567839,0.54632618712579
2206942,694,1,201903,22,Bogota Norte,Santa Barbara,0694 - Unicentro Bogota Entrada 7,741,29.9771140418929,0.588544218039178
2206942,694,2,201903,22,Bogota Norte,Santa Barbara,0694 - Unicentro Bogota Entrada 7,764,29.9771140418929,0.53096060696247
2206942,694,3,201903,22,Bogota Norte,Santa Barbara,0694 - Unicentro Bogota Entrada 7,953,29.9771140418929,0.662310809470202
2206942,694,4,201903,22,Bogota Norte,Santa Barbara,0694 - Unicentro Bogota Entrada 7,120,29.9771140418929,0.667175631785303
2208072,807,1,201903,22,Oriente,Boyaca,0807 - Centro Comercial Unicentro Tunja,20,30.1522237505731,0.0201000301362213
2208072,807,2,201903,22,Oriente,Boyaca,0807 - Centro Comercial Unicentro Tunja,1087,30.1522237505731,0.751050188558742
2208072,807,3,201903,22,Oriente,Boyaca,0807 - Centro Comercial Unicentro Tunja,1074,30.1522237505731,0.742067987591618
