jornada,region,zona,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
21,Occidente,Cali Oriente,201806,1,5,6,0.0833333333333333,0.416666666666667,0.5,6122,32589,53159
21,Occidente,Cali Sur,201806,1,8,3,0.0833333333333333,0.666666666666667,0.25,8032,89952,27011
21,Occidente,Narino - Cauca,201806,5,4,1,0.5,0.4,0.1,45103,30104,11625
21,Occidente,No hay informacion,201806,12,6,3,0.571428571428571,0.285714285714286,0.142857142857143,33787,52567,15183
21,Occidente,Valle del Cauca,201806,6,5,2,0.461538461538462,0.384615384615385,0.153846153846154,35109,30309,26733
21,Oriente,Boyaca,201806,1,11,0,0.0833333333333333,0.916666666666667,0,4467,74227,0
21,Oriente,Boyaca y Norte de Cundinamarca,201806,7,1,2,0.7,0.1,0.2,30863,7865,12861
21,Oriente,Bucaramanga,201806,4,6,2,0.333333333333333,0.5,0.166666666666667,32050,43975,17707
21,Oriente,Casanare y Bucaramanga,201806,5,4,1,0.5,0.4,0.1,27956,32305,9082
21,Oriente,Magdalena Medio,201806,4,4,1,0.444444444444444,0.444444444444444,0.111111111111111,31884,27785,3941
21,Oriente,No hay informacion,201806,10,5,4,0.526315789473684,0.263157894736842,0.210526315789474,35810,26589,21525
21,Oriente,Norte de Santander y Arauca,201806,2,5,3,0.2,0.5,0.3,13162,48980,16227
22,Antioquia,Medellin El Poblado,201806,3,0,0,1,0,0,6347,0,0
22,Antioquia,Medellin Occidental,201806,1,0,0,1,0,0,3358,0,0
22,Antioquia,No hay informacion,201806,1,0,0,1,0,0,1526,0,0
22,Banca Oficial II,No hay informacion,201806,1,0,0,1,0,0,1998,0,0
22,Bogota Norte,No hay informacion,201806,0,1,0,0,1,0,0,2949,0
22,Bogota Norte,Noroccidente,201806,0,0,1,0,0,1,0,0,5136
22,Bogota Norte,Occidental,201806,0,2,0,0,1,0,0,8051,0
22,Bogota Norte,Santa Barbara,201806,1,1,0,0.5,0.5,0,2580,4898,0
22,Bogota Sur,Autopista Sur,201806,0,0,2,0,0,1,0,0,6650
22,Bogota Sur,Calle 26,201806,1,1,0,0.5,0.5,0,4208,3011,0
22,Bogota Sur,No hay informacion,201806,3,2,0,0.6,0.4,0,1216,3662,0
22,Bogota Sur,Occidente,201806,0,2,0,0,1,0,0,7919,0
22,Bogota Sur,Teusaquillo,201806,0,0,1,0,0,1,0,0,5429
22,Bogota Sur,Zona Industrial,201806,0,2,1,0,0.666666666666667,0.333333333333333,0,8342,5009
22,Central,Cundinamarca,201806,1,1,0,0.5,0.5,0,1353,2193,0
22,Central,Girardot,201806,1,1,0,0.5,0.5,0,262,1479,0
22,Central,Huila - Caqueta,201806,1,0,0,1,0,0,1675,0,0
22,Central,Neiva - Tolima,201806,3,0,0,1,0,0,3515,0,0
22,Central,No hay informacion,201806,2,0,0,1,0,0,484,0,0
22,Central,Sabana,201806,1,0,0,1,0,0,2044,0,0
22,Central,Tolima,201806,1,0,0,1,0,0,2827,0,0
22,Central,Villavicencio,201806,1,0,0,1,0,0,2647,0,0
22,Costa,Barranquilla Centro,201806,0,0,1,0,0,1,0,0,3508
22,Costa,Barranquilla Norte,201806,0,1,0,0,1,0,0,3308,0
22,Costa,Bolivar - San Andres/Prov.,201806,1,0,1,0.5,0,0.5,3012,0,3396
22,Costa,No hay informacion,201806,4,0,0,1,0,0,5214,0,0
22,Occidente,Cali Norte,201806,1,0,0,1,0,0,2682,0,0
22,Occidente,Cali Sur,201806,3,0,0,1,0,0,8733,0,0
22,Oriente,Boyaca,201806,4,1,0,0.8,0.2,0,7575,2033,0
22,Oriente,Bucaramanga,201806,2,0,0,1,0,0,4993,0,0
22,Oriente,Casanare y Bucaramanga,201806,4,0,0,1,0,0,8668,0,0
22,Oriente,Magdalena Medio,201806,2,0,0,1,0,0,4408,0,0
22,Oriente,No hay informacion,201806,3,0,0,1,0,0,5747,0,0
22,Oriente,Norte de Santander y Arauca,201806,3,1,0,0.75,0.25,0,6568,1955,0
23,Antioquia,Medellin El Poblado,201806,1,0,0,1,0,0,599,0,0
23,Banca Oficial II,No hay informacion,201806,1,0,0,1,0,0,740,0,0
23,Bogota Norte,Autopista Nororiental,201806,4,0,0,1,0,0,2709,0,0
23,Bogota Norte,Carrera Septima,201806,1,0,0,1,0,0,924,0,0
23,Bogota Norte,No hay informacion,201806,1,0,0,1,0,0,143,0,0
23,Bogota Norte,Noroccidente,201806,2,0,0,1,0,0,2393,0,0
23,Bogota Norte,Occidental,201806,3,0,0,1,0,0,3501,0,0
23,Bogota Norte,Santa Barbara,201806,3,0,0,1,0,0,3659,0,0
23,Bogota Sur,Autopista Sur,201806,1,1,0,0.5,0.5,0,179,877,0
23,Bogota Sur,Calle 26,201806,1,0,0,1,0,0,1885,0,0
23,Bogota Sur,No hay informacion,201806,1,0,0,1,0,0,234,0,0
23,Bogota Sur,Occidente,201806,2,0,0,1,0,0,2548,0,0
23,Bogota Sur,Zona Industrial,201806,3,0,0,1,0,0,4068,0,0
23,Central,Cundinamarca,201806,2,0,0,1,0,0,1302,0,0
23,Central,Girardot,201806,2,0,0,1,0,0,327,0,0
23,Central,Huila - Caqueta,201806,1,0,0,1,0,0,541,0,0
23,Central,Neiva - Tolima,201806,1,0,0,1,0,0,207,0,0
23,Central,No hay informacion,201806,1,0,0,1,0,0,75,0,0
23,Central,Sabana,201806,1,0,0,1,0,0,745,0,0
23,Central,Tolima,201806,1,0,0,1,0,0,986,0,0
23,Central,Villavicencio,201806,1,0,0,1,0,0,779,0,0
23,Costa,Barranquilla Centro,201806,0,1,0,0,1,0,0,1267,0
23,Costa,Barranquilla Norte,201806,1,0,0,1,0,0,1169,0,0
23,Costa,Bolivar - San Andres/Prov.,201806,1,0,0,1,0,0,1061,0,0
23,Costa,No hay informacion,201806,2,0,0,1,0,0,904,0,0
23,Occidente,Cali Norte,201806,1,0,0,1,0,0,851,0,0
23,Occidente,Cali Sur,201806,2,0,0,1,0,0,1091,0,0
23,Oriente,Boyaca,201806,4,0,0,1,0,0,3051,0,0
23,Oriente,Bucaramanga,201806,2,0,0,1,0,0,1671,0,0
23,Oriente,Casanare y Bucaramanga,201806,3,0,0,1,0,0,1201,0,0
23,Oriente,Magdalena Medio,201806,2,0,0,1,0,0,1592,0,0
23,Oriente,No hay informacion,201806,3,0,0,1,0,0,2023,0,0
23,Oriente,Norte de Santander y Arauca,201806,4,0,0,1,0,0,1906,0,0
21,Antioquia,Caldas,201807,9,1,0,0.9,0.1,0,53009,8397,0
21,Antioquia,Medellin Centro,201807,4,7,0,0.363636363636364,0.636363636363636,0,23625,56021,0
21,Antioquia,Medellin El Poblado,201807,8,3,0,0.727272727272727,0.272727272727273,0,49583,29433,0
21,Antioquia,Medellin Occidental,201807,5,6,0,0.454545454545455,0.545454545454545,0,27274,52111,0
21,Antioquia,Municipios Antioquia,201807,9,4,1,0.642857142857143,0.285714285714286,0.0714285714285714,46586,24630,7730
21,Antioquia,Municipios Antioquia y Choco,201807,8,4,1,0.615384615384615,0.307692307692308,0.0769230769230769,49932,26944,24055
21,Antioquia,No hay informacion,201807,6,1,1,0.75,0.125,0.125,47769,7320,3327
21,Antioquia,Noroccidente Valle Aburra,201807,5,6,0,0.454545454545455,0.545454545454545,0,36708,46454,0
21,Antioquia,Quindio,201807,5,2,1,0.625,0.25,0.125,27085,12695,9787
21,Antioquia,Risaralda,201807,3,5,3,0.272727272727273,0.454545454545455,0.272727272727273,18931,36880,22620
21,Antioquia,Sur Valle Aburra,201807,6,4,0,0.6,0.4,0,43409,30787,0
21,Banca Oficial II,No hay informacion,201807,1,0,0,1,0,0,11684,0,0
21,Bogota Norte,Autopista Nororiental,201807,2,5,2,0.222222222222222,0.555555555555556,0.222222222222222,13882,51056,22606
21,Bogota Norte,Calle 72,201807,6,5,0,0.545454545454545,0.454545454545455,0,40913,39163,0
21,Bogota Norte,Carrera Septima,201807,6,8,0,0.428571428571429,0.571428571428571,0,34640,58317,0
21,Bogota Norte,Chapinero,201807,3,7,0,0.3,0.7,0,19350,52669,0
21,Bogota Norte,No hay informacion,201807,9,1,0,0.9,0.1,0,34418,7200,0
21,Bogota Norte,Noroccidente,201807,0,11,1,0,0.916666666666667,0.0833333333333333,0,102721,10163
21,Bogota Norte,Occidental,201807,0,10,2,0,0.833333333333333,0.166666666666667,0,82421,23930
21,Bogota Norte,Santa Barbara,201807,7,2,0,0.777777777777778,0.222222222222222,0,46018,21879,0
21,Bogota Sur,Autopista Sur,201807,3,7,3,0.230769230769231,0.538461538461538,0.230769230769231,18996,59292,28682
21,Bogota Sur,Calle 26,201807,4,7,0,0.363636363636364,0.636363636363636,0,23474,63857,0
21,Bogota Sur,Centro Oriental,201807,6,6,0,0.5,0.5,0,36634,42806,0
21,Bogota Sur,No hay informacion,201807,9,5,2,0.5625,0.3125,0.125,23578,50073,27999
21,Bogota Sur,Occidente,201807,1,7,2,0.1,0.7,0.2,6911,69958,23733
21,Bogota Sur,Sur Oriente,201807,2,8,1,0.181818181818182,0.727272727272727,0.0909090909090909,19398,70801,9207
21,Bogota Sur,Teusaquillo,201807,6,4,2,0.5,0.333333333333333,0.166666666666667,32448,29014,21082
21,Bogota Sur,Zona Industrial,201807,3,7,1,0.272727272727273,0.636363636363636,0.0909090909090909,18923,70943,15635
21,Central,Cundinamarca,201807,3,11,0,0.214285714285714,0.785714285714286,0,10723,70592,0
21,Central,Girardot,201807,5,3,0,0.625,0.375,0,26090,14511,0
21,Central,Huila - Caqueta,201807,5,4,0,0.555555555555556,0.444444444444444,0,20541,22995,0
21,Central,Magdalena Alto,201807,5,4,2,0.454545454545455,0.363636363636364,0.181818181818182,26419,17522,16446
21,Central,Meta,201807,5,2,4,0.454545454545455,0.181818181818182,0.363636363636364,17062,8095,35185
21,Central,Neiva - Tolima,201807,9,2,0,0.818181818181818,0.181818181818182,0,36323,7221,0
21,Central,No hay informacion,201807,4,1,3,0.5,0.125,0.375,6540,8442,27540
21,Central,Sabana,201807,5,7,1,0.384615384615385,0.538461538461538,0.0769230769230769,21833,46302,7152
21,Central,Tolima,201807,2,4,3,0.222222222222222,0.444444444444444,0.333333333333333,10034,35575,20394
21,Central,Villavicencio,201807,6,1,3,0.6,0.1,0.3,29854,7672,28492
21,Costa,Barranquilla Centro,201807,4,2,2,0.5,0.25,0.25,27491,15656,12604
21,Costa,Barranquilla Norte,201807,5,3,0,0.625,0.375,0,26379,23103,0
21,Costa,Barranquilla Sur,201807,3,5,3,0.272727272727273,0.454545454545455,0.272727272727273,18697,36780,21243
21,Costa,Bolivar - San Andres/Prov.,201807,8,2,1,0.727272727272727,0.181818181818182,0.0909090909090909,51329,18286,7158
21,Costa,Cesar,201807,7,5,1,0.538461538461538,0.384615384615385,0.0769230769230769,34904,28298,9718
21,Costa,Magdalena - Guajira,201807,9,2,1,0.75,0.166666666666667,0.0833333333333333,67538,15803,6171
21,Costa,No hay informacion,201807,27,5,1,0.818181818181818,0.151515151515152,0.0303030303030303,116401,30936,4310
21,Costa,Sucre,201807,1,0,0,1,0,0,4234,0,0
21,Direccion Banca Premium,No hay informacion,201807,6,0,0,1,0,0,4724,0,0
21,Direccion Banca Premium,Premium Antioquia,201807,3,0,0,1,0,0,1494,0,0
21,Direccion Banca Premium,Premium Bogota 1,201807,2,0,0,1,0,0,1527,0,0
21,Direccion Banca Premium,Premium Bogota 2,201807,2,0,0,1,0,0,1486,0,0
21,Direccion Banca Premium,Premium Occidente,201807,2,0,0,1,0,0,2699,0,0
21,Occidente,Cali Aeropuerto,201807,2,8,1,0.181818181818182,0.727272727272727,0.0909090909090909,15295,66591,6894
21,Occidente,Cali Centro,201807,3,6,1,0.3,0.6,0.1,27146,46973,6753
21,Occidente,Cali Norte,201807,3,8,1,0.25,0.666666666666667,0.0833333333333333,15287,61843,9147
21,Occidente,Cali Oriente,201807,1,8,3,0.0833333333333333,0.666666666666667,0.25,6271,60184,26904
21,Occidente,Cali Sur,201807,1,8,3,0.0833333333333333,0.666666666666667,0.25,8376,91335,28488
21,Occidente,Narino - Cauca,201807,3,5,2,0.3,0.5,0.2,26380,45930,22561
21,Occidente,No hay informacion,201807,14,6,5,0.56,0.24,0.2,21830,55184,29856
21,Occidente,Valle del Cauca,201807,5,5,3,0.384615384615385,0.384615384615385,0.230769230769231,30580,31450,37693
21,Oriente,Boyaca,201807,2,10,0,0.166666666666667,0.833333333333333,0,9145,72220,0
21,Oriente,Boyaca y Norte de Cundinamarca,201807,5,2,3,0.5,0.2,0.3,20978,11828,23282
21,Oriente,Bucaramanga,201807,4,6,2,0.333333333333333,0.5,0.166666666666667,34882,46584,18210
21,Oriente,Casanare y Bucaramanga,201807,3,5,2,0.3,0.5,0.2,14825,42099,17440
