llave,jornada,region,zona,nombre,mes,total_tx,t_ocup,num_cajeros
2103932,21,Antioquia,Medellin El Poblado,0393 - Centro Comercial Santafe Medellin,201904,6844,0.848609203988536,2
2103942,21,Central,Girardot,0394 - La Mesa,201904,7782,0.700868970937342,3
2103952,21,Central,Villavicencio,0395 - La Primavera Villavicencio,201904,6878,1.03539221647185,2
2103962,21,Central,Cundinamarca,0396 - Fusagasuga Centro,201904,9174,0.798520416597785,3
2103972,21,Oriente,Boyaca,0397 - Sugamuxi Sogamoso,201904,7084,0.703349860628037,3
2103982,21,Central,Huila - Caqueta,0398 - La Plata,201904,3782,0.379564706737763,3
2103992,21,Bogota Sur,Calle 26,0399 - Centro Empresarial Metropolitano Suramericana,201904,5829,0.861538658537761,2
2104002,21,Occidente,Valle del Cauca,0400 - La Victoria,201904,3542,0.546878566263697,2
2104022,21,Antioquia,Risaralda,0402 - La Virginia,201904,5350,0.69448993902513,2
2104062,21,Antioquia,Sur Valle Aburra,0406 - Univentas,201904,3482,0.516722894934683,2
2104072,21,Central,Magdalena Alto,0407 - Leticia,201904,5958,0.587259892767861,3
2104082,21,Costa,No hay informacion,0408 - Lorica,201904,7144,0.618053672832649,3
2104092,21,Oriente,Casanare y Bucaramanga,0409 - Unicentro Yopal,201904,7849,1.02555253284011,2
2104102,21,Bogota Norte,Noroccidente,0410 - Prado Veraniego,201904,9055,0.897223840827705,3
2104142,21,Costa,Bolivar - San Andres/Prov.,0414 - Magangue,201904,4632,0.415436771579273,3
2104154,21,Bogota Norte,No hay informacion,0415 - Oficina de Recaudos y Pagos Fiesta Suba,201904,10136,0.624081455764624,4
2104172,21,Antioquia,Noroccidente Valle Aburra,0417 - Centro Comercial Florida,201904,10035,0.864171079077385,3
2104182,21,Central,Magdalena Alto,0418 - Armero Guayabal,201904,2612,0.770291822709265,1
2104202,21,Oriente,Magdalena Medio,0420 - San Martin Cesar,201904,4525,1.34345238681062,1
2104231,21,Costa,No hay informacion,0423 - Base Militar Covenas,201904,571,0.171508453356619,1
2104247,21,Costa,No hay informacion,0424 - El Paso Cesar,201904,1291,0.431925535986905,1
2104254,21,Bogota Sur,No hay informacion,0425 - Oficina de Recaudos y Pagos Fontibon,201904,10243,0.841673687630147,3
2104262,21,Costa,Bolivar - San Andres/Prov.,0426 - Mamonal,201904,3522,0.526343472814852,2
2104272,21,Occidente,Cali Oriente,0427 - Avenida Roosevelt,201904,6919,1.02624317339345,2
2104312,21,Antioquia,Noroccidente Valle Aburra,0431 - Terminal de Transportes,201904,8203,0.713016811606071,3
2104322,21,Antioquia,Medellin Centro,0432 - Maturin,201904,5184,0.519534075539894,3
2104332,21,Antioquia,Medellin El Poblado,0433 - El Poblado,201904,4983,0.731293735745387,2
2104342,21,Antioquia,Medellin Centro,0434 - Medellin,201904,12160,0.71167669173837,5
2104362,21,Costa,No hay informacion,0436 - Montelibano,201904,5847,0.509766347758227,3
2104372,21,Bogota Sur,Sur Oriente,0437 - Santa Librada Bogota,201904,13641,0.875090120556031,4
2104382,21,Costa,No hay informacion,0438 - Monteria,201904,11289,0.58408748402289,5
2104392,21,Costa,Magdalena - Guajira,0439 - Torre Banco de Bogota,201904,5646,0.836336036000109,2
2104412,21,Bogota Norte,Occidental,0441 - Calle 80,201904,8273,0.818536524168359,3
2104422,21,Central,Neiva - Tolima,0442 - Neiva,201904,6914,0.509484868521742,4
2104432,21,Antioquia,Medellin Occidental,0443 - Calasanz,201904,5529,0.810566667797984,2
2104442,21,Central,Sabana,0444 - Cajica,201904,8284,0.819559951723049,3
2104452,21,Occidente,Cali Oriente,0445 - Imbanaco,201904,9813,0.966407689996345,3
2104462,21,Oriente,Magdalena Medio,0446 - Ocana,201904,9904,0.643860413359983,4
2104472,21,Bogota Sur,Sur Oriente,0447 - Lucero,201904,8523,0.837821408008592,3
2104482,21,Bogota Sur,Teusaquillo,0448 - Palermo,201904,5801,0.572096857085104,3
2104492,21,Bogota Norte,Chapinero,0449 - Carrera 7 Calle 67,201904,7494,0.739140504913189,3
2104502,21,Bogota Sur,Sur Oriente,0450 - Candelaria La Nueva,201904,9964,0.976213522878329,3
2104522,21,Antioquia,Medellin El Poblado,0452 - Centro Comercial El Tesoro,201904,5694,0.491053500608432,3
2104532,21,Costa,Barranquilla Sur,0453 - Malambo,201904,5428,0.794440274038793,2
2104542,21,Occidente,Cali Aeropuerto,0454 - Unicentro Palmira,201904,6907,1.03009018186655,2
2104552,21,Occidente,Cali Sur,0455 - Panamericano Cali,201904,9429,1.37791269245684,2
2104562,21,Occidente,Cali Oriente,0456 - Villa Colombia - CALI,201904,10968,1.07508769822587,3
2104572,21,Costa,Barranquilla Sur,0457 - Galapa,201904,3871,0.570418857734091,2
2104582,21,Occidente,Cali Aeropuerto,0458 - Palmira,201904,17483,0.573076581843051,9
2104592,21,Occidente,Cali Sur,0459 - Pasoancho,201904,13358,0.869899280716673,4
2104601,21,Bogota Norte,Occidental,0460 - Avenida Carrera 30,201904,4740,0.707142047815085,2
2104612,21,Occidente,Narino - Cauca,0461 - La Union,201904,3141,0.497462085832355,2
2104622,21,Oriente,Norte de Santander y Arauca,0462 - Pamplona,201904,6671,0.572887348701956,3
2104632,21,Antioquia,Municipios Antioquia,0463 - Marinilla,201904,5467,0.703626926098817,2
2104643,21,Direccion Banca Premium,Premium Antioquia,0464 - Premium Torre Oviedo,201904,443,0.132981650132813,1
2104652,21,Antioquia,Risaralda,0465 - Parque Olaya,201904,4970,0.740929938178099,2
2104662,21,Occidente,Narino - Cauca,0466 - Pasto,201904,13428,0.698425343179668,5
2104672,21,Costa,Barranquilla Norte,0467 - Parque Washington,201904,6884,0.686058590857987,3
2104682,21,Antioquia,Risaralda,0468 - Pereira,201904,10265,0.608371367288201,5
2104692,21,Oriente,Casanare y Bucaramanga,0469 - Piedecuesta,201904,11457,0.737210970260906,4
2104702,21,Occidente,Cali Sur,0470 - Jamundi,201904,14279,0.880992799506156,4
2104712,21,Costa,Magdalena - Guajira,0471 - Pivijay,201904,4793,0.483919293872998,3
2104734,21,Oriente,No hay informacion,0473 - Oficina de Recaudos y Pagos Paseo del Comercio,201904,9269,0.685127303923664,4
2104742,21,Central,Tolima,0474 - Piedrapintada,201904,5632,0.825726050776306,2
2104752,21,Occidente,Cali Oriente,0475 - Comfandi El Prado Cali,201904,9762,0.959716413450723,3
2104762,21,Antioquia,Medellin Occidental,0476 - Belen,201904,7670,0.74760182818307,3
2104772,21,Occidente,Cali Oriente,0477 - Junin,201904,11013,1.0871498751876,3
2104782,21,Antioquia,Municipios Antioquia y Choco,0478 - Carepa,201904,4277,0.544169645890628,2
2104792,21,Occidente,Valle del Cauca,0479 - Villa Cespedes Tulua,201904,8011,0.784143568283935,3
2104802,21,Occidente,Cali Sur,0480 - Canaveralejo,201904,6005,0.885540962994433,2
2104814,21,Bogota Sur,No hay informacion,0481 - Oficina de Recaudos y Pagos Centro Comercial Gran Estacion II,201904,9389,0.92273962430682,3
2104842,21,Occidente,Cali Centro,0484 - Plaza de Caicedo,201904,17313,0.853562280209257,6
2104862,21,Occidente,Cali Sur,0486 - Unicentro,201904,14079,0.91225848809933,4
2104872,21,Occidente,Cali Oriente,0487 - Alameda,201904,5955,0.886956407556457,2
2104882,21,Occidente,Cali Oriente,0488 - Ciudad Cordoba,201904,12122,1.17893207730671,3
2104902,21,Occidente,Cali Norte,0490 - Avenida Tercera,201904,6503,0.961181123587742,2
2104912,21,Central,Neiva - Tolima,0491 - Centro Comercial Murano Neiva,201904,4120,0.612716804735864,2
2104922,21,Bogota Sur,Centro Oriental,0492 - Parque de La Independencia,201904,8102,0.791190529396039,3
2104932,21,Costa,Barranquilla Sur,0493 - Centro Comercial Gran Plaza del  Sol,201904,7013,0.905805969410635,2
2104942,21,Costa,Cesar,0494 - Plaza de Mercado Valledupar,201904,5602,0.601749053473119,3
2104952,21,Occidente,Cali Oriente,0495 - El Templete Cali,201904,7565,1.11508601457055,2
2104962,21,Occidente,Narino - Cauca,0496 - Calle La Herreria,201904,5040,0.753741020216197,2
2104972,21,Antioquia,Sur Valle Aburra,0497 - Caldas,201904,8125,0.688763921736543,3
2104982,21,Occidente,Cali Norte,0498 - Centro Comercial Carrera,201904,9968,0.981206514093391,3
2105042,21,Costa,Bolivar - San Andres/Prov.,0504 - Avenida Pedro Heredia,201904,5953,0.599162600896118,3
2105102,21,Antioquia,Medellin Occidental,0510 - Laureles,201904,5951,0.585893565252838,3
2105112,21,Bogota Sur,Centro Oriental,0511 - Calle 18,201904,6512,0.643485779431378,3
2105122,21,Bogota Sur,Autopista Sur,0512 - Ismael Perdomo,201904,9005,0.886078712263264,3
2105132,21,Oriente,Magdalena Medio,0513 - Puerto Wilches,201904,4763,0.717219494213221,2
2105142,21,Antioquia,Municipios Antioquia y Choco,0514 - Puerto Berrio,201904,5161,0.444876812675666,3
2105162,21,Oriente,Norte de Santander y Arauca,0516 - Los Patios,201904,7477,1.09257748129317,2
2105182,21,Antioquia,Medellin Centro,0518 - Argos,201904,5041,0.734468393935733,2
2105192,21,Central,Girardot,0519 - Arbelaez,201904,2434,0.719273776251794,1
2105202,21,Occidente,Narino - Cauca,0520 - Popayan,201904,13006,0.641806354638875,6
