mes,llave,tipo_oficina,cnl_jornada,txs,horas_jornada,jornada,nombre,region,zona,num_cajeros,porc_menor_1m,porc_mayor_1m,porc_otros,tasa_serv,dias_hb,capacidad_mes,tasa_ocu
2019-06,2100002,2,21,5115.24500382913,5.5,21,0000 - Oficina Principal,Bogota Sur,Teusaquillo,3,0.596312469674915,0.36179847970241,0.0418890506226751,30.4004528546013,18,9028.9344978166,0.566539164180017
2019-06,2100022,2,21,6077.68293637566,5.5,21,0002 - Centro ADM CAN,Bogota Sur,Calle 26,3,0.641758241758242,0.319505494505495,0.0387362637362637,30.5961538461539,18,9087.0576923077,0.66882847475707
2019-06,2100052,2,21,6334.61233333333,5.5,21,0005 - Suba,Bogota Norte,Noroccidente,3,0.693287533991699,0.276370402175469,0.0303420638328324,30.7698583082868,18,9138.64791756119,0.69316734712588
2019-06,2100062,2,21,5860.13960137053,5.5,21,0006 - Cedritos,Bogota Norte,Santa Barbara,3,0.633081204509776,0.3429427715142,0.023976023976024,30.4051662623091,18,9030.33437990581,0.648939380850663
2019-06,2100072,2,21,7544.57415788188,5.5,21,0007 - Antiguo Country,Bogota Norte,Carrera Septima,3,0.63474006116208,0.347767584097859,0.0174923547400612,30.348623853211,18,9013.54128440367,0.837026638013676
2019-06,2100082,2,21,5429.94025416667,5.5,21,0008 - El Chico,Bogota Norte,Carrera Septima,3,0.668084503048348,0.316602864029491,0.0153126329221608,30.4935488444633,18,9056.58400680561,0.599557211646943
2019-06,2100092,2,21,5045.57952151138,5.5,21,0009 - Calle 100,Bogota Norte,Carrera Septima,3,0.671087978509067,0.304231027535259,0.024680993955675,30.6022498321021,18,9088.86820013433,0.555138374812918
2019-06,2100102,2,21,5758.92886111111,5.5,21,0010 - Avenida Caracas,Bogota Sur,Centro Oriental,3,0.572744835785406,0.4082330212513,0.0190221429632932,30.0539456085599,18,8926.0218457423,0.645184266926045
2019-06,2100112,2,21,8030.28195833333,5.5,21,0011 - Bacata Funza,Central,Sabana,3,0.670504210638525,0.303379170664108,0.026116618697367,30.6136872401663,18,9092.26511032939,0.88319927552601
2019-06,2100122,2,21,5455.93355193333,5.5,21,0012 - Pasadena,Bogota Norte,Calle 72,3,0.661601580306944,0.306336423036013,0.032061996657043,30.6286278681052,18,9096.70247682723,0.599770473512976
2019-06,2100132,2,21,8710.35180366413,5.5,21,0013 - Galan,Oriente,Magdalena Medio,3,0.565935259613296,0.411144905496415,0.0229198348902889,30.0588746469694,18,8927.4857701499,0.975678038355234
2019-06,2100142,2,21,5598.18413172726,5.5,21,0014 - Los Heroes,Bogota Norte,Calle 72,3,0.63062787136294,0.332771822358346,0.0366003062787136,30.5191424196018,18,9064.18529862174,0.61761580851381
2019-06,2100152,2,21,11201.2060762503,5.5,21,0015 - Centro Comercial Calima Bogota,Bogota Sur,Teusaquillo,4,0.580129847941227,0.393985990090552,0.0258841619682214,30.1594908593884,18,11943.1583803178,0.937876374034344
2019-06,2100162,2,21,10420.5908015925,5.5,21,0016 - Cota,Bogota Norte,Noroccidente,4,0.680304915992533,0.299548848786559,0.0201462352209085,30.6029869321718,18,12118.78282514,0.859871073848714
2019-06,2100172,2,21,4327.43427777778,5.5,21,0017 - CUAN,Bogota Sur,Calle 26,3,0.615854901161606,0.349704503770124,0.0344405950682698,30.4236804564907,18,9035.83309557774,0.47891923544888
2019-06,2100182,2,21,6886.04060416667,5.5,21,0018 - Zona Industrial Montevideo,Bogota Sur,Zona Industrial,3,0.686293792255685,0.290473263675476,0.0232329440688384,30.6637984019668,18,9107.14812538414,0.75611382502645
2019-06,2100192,2,21,9492.97884722222,5.5,21,0019 - Barrio Restrepo,Bogota Sur,Sur Oriente,4,0.61693234836703,0.349533437013997,0.0335342146189736,30.4200038880249,18,12046.3215396579,0.788039636495693
2019-06,2100202,2,21,4563.18909045771,5.5,21,0020 - San Jose,Bogota Sur,Zona Industrial,3,0.659239610963749,0.314058355437666,0.0267020335985853,30.5632183908046,18,9077.27586206897,0.502704683629349
2019-06,2100212,2,21,10116.9142973938,5.5,21,0021 - Veinte de Julio,Bogota Sur,Sur Oriente,4,0.698262939776034,0.272110043206066,0.0296270170178997,30.7875848690592,18,12191.8836081474,0.829807322851488
2019-06,2100222,2,21,6822.34150138889,5.5,21,0022 - Venecia,Bogota Sur,Autopista Sur,3,0.664313725490196,0.307450980392157,0.0282352941176471,30.6039215686275,18,9089.36470588235,0.750585076311625
2019-06,2100232,2,21,7674.16766259921,5.5,21,0023 - Modelia,Bogota Sur,Calle 26,3,0.645457527058052,0.336613097190336,0.0179293757516126,30.4065813928064,18,9030.7546736635,0.849781434654567
2019-06,2100242,2,21,12315.1309068421,5.5,21,"0024 - Centro Comercial Diver Plaza Alamos
",Bogota Norte,Occidental,4,0.664624808575804,0.314492551858555,0.0208826395656411,30.5319504385354,18,12090.65237366,1.01856628792596
2019-06,2100252,2,21,12431.0474339759,5.5,21,0025 - Plaza de las Americas,Bogota Sur,Occidente,4,0.582289055973267,0.392648287385129,0.025062656641604,30.1620718462824,18,11944.1804511278,1.0407618576126
2019-06,2100262,2,21,8196.99636455026,5.5,21,0026 - Santuario 20 de Julio,Bogota Sur,Sur Oriente,3,0.662168505045764,0.311194555268716,0.0266369396855198,30.577211922084,18,9081.43194085895,0.902610559428469
2019-06,2100272,2,21,6371.43143298771,5.5,21,0027 - Carvajal,Bogota Sur,Occidente,3,0.607674761840869,0.371394069502214,0.0209311686569167,30.2476854957735,18,8983.56259224473,0.709232152340987
